Name,Level,Date Hired,Pay,Job Position,Date Departed
Janee Richard,Associate,2015-05-18,"$82,000.00 ",Relational Configuration Officer,

Janee Thompson,Associate,2015-07-17,"$82,000.00 ",International Communications Agent,2016-03-14

Janey Braun,Supervisor,2018-01-18,"$122,000.00 ",Global Research Supervisor,

Janey Dawson,Executive,2019-05-06,"$212,000.00 ",Forward Impact Coordinator,

Janey Thompson,Associate,2016-09-06,"$81,000.00 ",Dynamic Impact Supervisor,

Jeanetta Keith,Associate,2018-01-15,"$86,000.00 ",Dynamic Operations Engineer,

Kasandra Carter,Associate,2015-07-09,"$86,000.00 ",Dynamic Factors Manager,2016-03-14

Kasandra Dixon,Associate,2010-06-14,"$82,000.00 ",Customer Team Administrator,

Kasandra Holloway,Associate,2015-03-13,"$81,000.00 ",Direct Group Executive,

Kasandra Mayo,Executive,2018-05-17,"$215,000.00 ",Customer Identity Coordinator,

Kasandra Thompson,Associate,2019-03-15,"$84,000.00 ",Regional Creative Administrator,

Leatha Mcintyre,Associate,2008-07-11,"$82,000.00 ",District Functionality Assistant,

Leatha Reynolds,Supervisor,2010-05-05,"$129,000.00 ",Customer Configuration Planner,

Leatha Watkins,Supervisor,2015-06-17,"$122,000.00 ",Chief Solutions Designer,

Lucy Carter,Associate,2016-06-11,"$84,000.00 ",Investor Ideation Producer,

Lucy Watkins,Supervisor,2017-10-05,"$125,000.00 ",National Communications Assistant,

Lucy Wilcox,Associate,2008-02-11,"$85,000.00 ",Chief Resonance Representative,

Magdalene Keith,Associate,2018-04-08,"$83,000.00 ",Principal Creative Consultant,

Magdalene Keith,Supervisor,2019-04-12,"$120,000.00 ",Regional Interactions Associate,

Magdalene Reynolds,Associate,2015-06-08,"$80,000.00 ",International Mobility Agent,

Mardell Hodge,Associate,2015-07-09,"$88,000.00 ",Human Impact Architect,

Mardell Thompson,Associate,2019-01-13,"$84,000.00 ",Principal Response Administrator,

Nedra Arellano,Associate,2019-05-04,"$87,000.00 ",Regional Optimization Engineer,

Nedra Carter,Supervisor,2014-02-13,"$124,000.00 ",Lead Creative Strategist,

Nedra Park,Associate,2008-05-18,"$80,000.00 ",Corporate Resonance Director,

Nedra Perkins,Associate,2014-04-18,"$80,000.00 ",Relational Metrics Representative,

Reiko Thompson,Associate,2016-06-12,"$83,000.00 ",Forward Accountability Developer,

Reynalda Braun,Executive,2008-10-06,"$216,000.00 ",Relational Communications Liason,

Reynalda Carter,Associate,2016-05-04,"$86,000.00 ",Product Directives Supervisor,

Reynalda Mayo,Supervisor,2018-04-19,"$126,000.00 ",Future Marketing Synergist,

Rozella Carter,Associate,2014-08-11,"$86,000.00 ",Dynamic Communications Planner,

Rozella Estes,Associate,2015-02-16,"$87,000.00 ",Central Ideation Engineer,

Shaunta Bernard,Associate,2018-03-04,"$83,000.00 ",Human Configuration Producer,

Shaunta Carter,Associate,2015-10-10,"$83,000.00 ",Global Configuration Facilitator,

Shaunta Carter,Supervisor,2017-04-20,"$123,000.00 ",Dynamic Usability Manager,

Shaunta Fry,Executive,2014-08-08,"$202,000.00 ",Corporate Directives Strategist,

Shaunta Hale,Supervisor,2018-05-21,"$124,000.00 ",Customer Assurance Synergist,

Shaunta Hodge,Executive,2010-03-09,"$205,000.00 ",Dynamic Data Synergist,

Shaunta Howe,Supervisor,2016-08-04,"$122,000.00 ",International Interactions Supervisor,

Shaunta Mcbride,Associate,2010-06-10,"$80,000.00 ",Direct Configuration Developer,

Shaunta Wilcox,Associate,2008-09-21,"$83,000.00 ",District Accountability Facilitator,

Tari Dawson,Supervisor,2015-03-05,"$120,000.00 ",Interactive Research Associate,

Tari Reese,Supervisor,2019-04-19,"$127,000.00 ",Principal Mobility Producer,

Tari Richard,Associate,2008-02-18,"$87,000.00 ",Human Creative Coordinator,

Tari Wood,Associate,2010-10-20,"$88,000.00 ",International Team Specialist,

Tessa Estes,Associate,2014-02-15,"$87,000.00 ",Interactive Accountability Executive,2016-03-14

Tessa Holloway,Supervisor,2019-01-11,"$131,000.00 ",Interactive Ideation Officer,

Tessa Obrien,Associate,2010-08-04,"$85,000.00 ",District Resonance Liason,

Tessa Richard,Associate,2008-06-16,"$83,000.00 ",Regional Data Orchestrator,

Tessa Wilcox,Associate,2019-10-08,"$84,000.00 ",Central Applications Facilitator,

Trent Hale,Supervisor,2015-01-14,"$121,000.00 ",Dynamic Paradigm Facilitator,

Trent Mcbride,Associate,2008-09-04,"$81,000.00 ",National Directives Specialist,

Trent Perkins,Associate,2019-08-12,"$86,000.00 ",National Security Supervisor,

Trent Reese,Associate,2017-03-17,"$85,000.00 ",Internal Configuration Supervisor,

Tyra Estes,Supervisor,2014-10-15,"$126,000.00 ",Global Group Strategist,

Tyra Perkins,Associate,2016-01-08,"$84,000.00 ",Corporate Marketing Specialist,

Viviana Estes,Executive,2010-06-08,"$205,000.00 ",Principal Creative Assistant,

Viviana Howe,Supervisor,2014-02-12,"$123,000.00 ",Internal Metrics Liason,

Viviana Keith,Associate,2016-08-12,"$82,000.00 ",National Web Synergist,

Viviana Wood,Associate,2016-05-04,"$84,000.00 ",Corporate Marketing Associate,

Wayne Bernard,Associate,2008-06-09,"$87,000.00 ",Central Operations Director,

Wayne Dawson,Supervisor,2010-05-09,"$128,000.00 ",Corporate Interactions Officer,

Wayne Holloway,Supervisor,2018-07-16,"$121,000.00 ",Investor Interactions Developer,

Wayne Holloway,Associate,2016-07-18,"$88,000.00 ",Internal Program Agent,

Wayne Holloway,Associate,2019-07-06,"$85,000.00 ",Relational Solutions Producer,

Wayne Perkins,Associate,2018-02-14,"$84,000.00 ",Principal Accountability Analyst,

Wayne Wilcox,Associate,2017-02-13,"$80,000.00 ",Legacy Communications Facilitator,

Yolonda Welch,Associate,2015-05-15,"$84,000.00 ",Senior Functionality Planner,

